project,bug_id,tests,buggy_result,buggy_fails,fixed_result,fixed_fails,verdict,lines,covered_lines,line_cov,branches,covered_branches,branch_cov,buggy_test_seconds,fixed_test_seconds,test_run_seconds,buggy_test_time_source,fixed_test_time_source
Chart,1,66,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,1.0,1.0,log_ant_total,log_ant_total
Chart,10,9,FAIL,1,FAIL,5,INCONCLUSIVE,3,3,100.0,0,0,,,,,,
Chart,11,59,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,12,27,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,13,13,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,14,70,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,15,36,FAIL,13,FAIL,13,INCONCLUSIVE,836,252,30.14,312,82,26.28,,,,,
Chart,16,33,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,17,42,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,18,70,FAIL,1,FAIL,3,INCONCLUSIVE,266,255,95.86,122,102,83.61,,,,,
Chart,19,78,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,3.0,2.0,5.0,log_ant_total,log_ant_total
Chart,2,75,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Chart,20,16,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,0.0,2.0,log_ant_total,log_ant_total
Chart,21,30,FAIL,6,FAIL,6,INCONCLUSIVE,161,90,55.9,60,24,40.0,,,,,
Chart,22,32,FAIL,6,FAIL,6,INCONCLUSIVE,124,115,92.74,58,47,81.03,,,,,
Chart,23,33,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,24,18,FAIL,4,FAIL,2,INCONCLUSIVE,25,25,100.0,10,10,100.0,,,,,
Chart,25,12,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,0.0,1.0,log_ant_total,log_ant_total
Chart,26,34,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,3,53,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Chart,4,83,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,2.0,4.0,log_ant_total,log_ant_total
Chart,5,47,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Chart,6,28,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Chart,7,44,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Chart,8,24,FAIL,2,FAIL,2,INCONCLUSIVE,162,119,73.46,68,35,51.47,,,,,
