project,bug_id,tests,buggy_result,buggy_fails,fixed_result,fixed_fails,verdict,lines,covered_lines,line_cov,branches,covered_branches,branch_cov,buggy_test_seconds,fixed_test_seconds,test_run_seconds,buggy_test_time_source,fixed_test_time_source
Chart,1,50,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,0.0,1.0,log_ant_total,log_ant_total
Chart,10,9,FAIL,1,FAIL,5,INCONCLUSIVE,3,3,100.0,0,0,,,,,,
Chart,11,16,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,12,28,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,0.0,1.0,log_ant_total,log_ant_total
Chart,13,17,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,0.0,1.0,log_ant_total,log_ant_total
Chart,14,31,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,15,36,FAIL,13,FAIL,13,INCONCLUSIVE,836,252,30.14,312,82,26.28,,,,,
Chart,16,66,PASS,0,PASS,0,NOT_REVEALING,188,177,94.15,128,113,88.28,,,,,
Chart,17,49,PASS,0,PASS,0,NOT_REVEALING,287,243,84.67,128,94,73.44,,,,,
Chart,18,70,FAIL,1,FAIL,3,INCONCLUSIVE,266,255,95.86,122,102,83.61,,,,,
Chart,19,29,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,2,94,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Chart,20,6,FAIL,1,PASS,0,REVEALING,22,21,95.45,8,7,87.5,,,,,
Chart,21,30,FAIL,6,FAIL,6,INCONCLUSIVE,161,90,55.9,60,24,40.0,,,,,
Chart,22,32,FAIL,6,FAIL,6,INCONCLUSIVE,124,115,92.74,58,47,81.03,,,,,
Chart,23,13,FAIL,1,PASS,0,REVEALING,144,54,37.5,46,12,26.09,,,,,
Chart,24,18,FAIL,4,FAIL,2,INCONCLUSIVE,25,25,100.0,10,10,100.0,,,,,
Chart,25,6,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,26,18,PASS,0,PASS,0,NOT_REVEALING,350,195,55.71,128,65,50.78,,,,,
Chart,3,40,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,4,14,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,5,32,FAIL,5,FAIL,4,INCONCLUSIVE,172,155,90.12,80,69,86.25,,,,,
Chart,6,7,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,7,17,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Chart,8,24,FAIL,2,FAIL,2,INCONCLUSIVE,162,119,73.46,68,35,51.47,,,,,
Chart,9,31,PASS,0,PASS,0,NOT_REVEALING,288,224,77.78,128,88,68.75,,,,,
Cli,1,9,FAIL,1,FAIL,1,INCONCLUSIVE,45,0,0.0,14,0,0.0,,,,,
Cli,10,17,FAIL,1,FAIL,1,INCONCLUSIVE,106,0,0.0,70,0,0.0,,,,,
Cli,11,20,FAIL,1,FAIL,1,INCONCLUSIVE,198,0,0.0,106,0,0.0,,,,,
Cli,12,12,FAIL,1,FAIL,1,INCONCLUSIVE,25,0,0.0,16,0,0.0,,,,,
Cli,13,47,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,14,10,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,15,14,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,16,66,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,1.0,1.0,log_ant_total,log_ant_total
Cli,17,15,FAIL,1,FAIL,1,INCONCLUSIVE,67,0,0.0,42,0,0.0,,,,,
Cli,18,26,FAIL,1,FAIL,1,INCONCLUSIVE,66,0,0.0,42,0,0.0,,,,,
Cli,19,15,FAIL,1,FAIL,1,INCONCLUSIVE,65,0,0.0,42,0,0.0,,,,,
Cli,2,16,FAIL,1,FAIL,1,INCONCLUSIVE,68,0,0.0,42,0,0.0,,,,,
Cli,20,19,FAIL,1,FAIL,1,INCONCLUSIVE,64,0,0.0,42,0,0.0,,,,,
Cli,21,48,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,22,38,FAIL,1,FAIL,1,INCONCLUSIVE,57,0,0.0,38,0,0.0,,,,,
Cli,23,17,FAIL,1,FAIL,1,INCONCLUSIVE,198,0,0.0,108,0,0.0,,,,,
Cli,24,30,FAIL,1,FAIL,1,INCONCLUSIVE,198,0,0.0,112,0,0.0,,,,,
Cli,25,21,FAIL,1,FAIL,1,INCONCLUSIVE,198,0,0.0,112,0,0.0,,,,,
Cli,26,12,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,27,13,FAIL,1,FAIL,1,INCONCLUSIVE,34,0,0.0,12,0,0.0,,,,,
Cli,28,16,FAIL,1,FAIL,1,INCONCLUSIVE,101,0,0.0,68,0,0.0,,,,,
Cli,29,19,FAIL,1,FAIL,1,INCONCLUSIVE,14,0,0.0,10,0,0.0,,,,,
Cli,3,27,FAIL,1,FAIL,1,INCONCLUSIVE,55,0,0.0,20,0,0.0,,,,,
Cli,30,39,FAIL,2,FAIL,2,INCONCLUSIVE,288,0,0.0,218,0,0.0,,,,,
Cli,31,46,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,1.0,1.0,log_ant_total,log_ant_total
Cli,32,22,FAIL,1,FAIL,1,INCONCLUSIVE,203,0,0.0,122,0,0.0,,,,,
Cli,33,16,FAIL,1,FAIL,1,INCONCLUSIVE,201,0,0.0,114,0,0.0,,,,,
Cli,34,46,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,35,27,FAIL,3,FAIL,3,INCONCLUSIVE,57,54,94.74,20,19,95.0,,,,,
Cli,36,23,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,37,24,PASS,0,PASS,0,NOT_REVEALING,187,158,84.49,158,102,64.56,,,,,
Cli,38,24,PASS,0,PASS,0,NOT_REVEALING,191,160,83.77,158,101,63.92,,,,,
Cli,39,33,FAIL,3,FAIL,3,INCONCLUSIVE,42,36,85.71,20,16,80.0,,,,,
Cli,4,16,FAIL,1,FAIL,1,INCONCLUSIVE,99,0,0.0,68,0,0.0,,,,,
Cli,40,22,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,5,14,FAIL,1,FAIL,1,INCONCLUSIVE,11,0,0.0,8,0,0.0,,,,,
Cli,7,14,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Cli,8,23,FAIL,1,FAIL,1,INCONCLUSIVE,192,0,0.0,104,0,0.0,,,,,
Cli,9,17,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,1,6,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,3.0,1.0,4.0,log_ant_total,log_ant_total
Closure,10,8,FAIL,4,FAIL,4,INCONCLUSIVE,1031,75,7.27,1028,44,4.28,,,,,
Closure,100,5,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,101,6,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,102,7,FAIL,6,FAIL,6,INCONCLUSIVE,186,47,25.27,109,25,22.94,,,,,
Closure,103,30,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,104,44,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,105,12,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,0.0,1.0,log_ant_total,log_ant_total
Closure,106,66,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,107,5,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,108,9,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Closure,109,5,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,11,7,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,2.0,4.0,log_ant_total,log_ant_total
Closure,110,105,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,111,5,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Closure,112,8,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,113,20,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,114,10,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,115,24,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,116,17,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,117,19,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Closure,118,20,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,119,23,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,12,9,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Closure,120,24,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,121,11,FAIL,3,FAIL,3,INCONCLUSIVE,297,187,62.96,236,109,46.19,,,,,
Closure,122,14,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Closure,123,29,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,124,20,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,125,21,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,126,8,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,127,18,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,128,38,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Closure,129,21,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Closure,13,9,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,130,7,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,131,13,FAIL,1,PASS,0,REVEALING,113,112,99.12,165,138,83.64,,,,,
Closure,132,28,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Closure,133,14,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Closure,134,8,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,135,40,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,136,42,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,137,122,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,138,18,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,0.0,1.0,log_ant_total,log_ant_total
Closure,139,9,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,14,32,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Closure,140,27,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,141,72,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,142,29,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,143,52,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,144,103,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,145,50,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,146,27,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,147,23,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,148,83,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,149,121,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,15,11,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,2.0,3.0,log_ant_total,log_ant_total
Closure,150,4,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,151,14,FAIL,1,FAIL,1,INCONCLUSIVE,182,138,75.82,34,18,52.94,,,,,
Closure,152,13,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,0.0,0.0,0.0,log_ant_total,log_ant_total
Closure,153,30,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,154,25,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,155,51,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,156,5,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,157,92,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,158,68,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,159,12,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,16,12,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,160,55,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,161,46,FAIL,38,FAIL,38,INCONCLUSIVE,636,238,37.42,498,153,30.72,,,,,
Closure,162,60,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,163,19,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,164,17,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,165,87,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,166,32,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,167,105,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,1.0,3.0,log_ant_total,log_ant_total
Closure,168,6,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,169,135,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,17,16,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,2.0,4.0,log_ant_total,log_ant_total
Closure,170,8,FAIL,8,FAIL,8,INCONCLUSIVE,179,7,3.91,132,0,0.0,,,,,
Closure,171,49,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,1.0,1.0,2.0,log_ant_total,log_ant_total
Closure,172,39,FAIL,39,FAIL,39,INCONCLUSIVE,947,0,0.0,762,0,0.0,,,,,
Closure,173,19,FAIL,10,FAIL,10,INCONCLUSIVE,915,76,8.31,685,29,4.23,,,,,
Closure,174,31,NOT_RUN,,NOT_RUN,,NOT_AVAILABLE,,,,,,,2.0,2.0,4.0,log_ant_total,log_ant_total
