
[attempt at 2026-09-24T22:53:12.718374+00:00 key #4]

================================================================================
🚀 เริ่มการสร้าง Test Code ด้วย DeepSeek-V4-Flash (1 ไฟล์เป้าหมาย)
🔑 จำนวนคีย์ API พร้อมใช้งาน: 1 คีย์ (หมุนเวียน Round-Robin)
🎯 เพดาน Output Token: 100000 tokens
💰 ยอดใช้ Token วันนี้: 1,093,266 tokens (อ้างอิงเป้า 1,000,000 tokens - ไม่บล็อก ปล่อยรันจนชน Quota เซิร์ฟเวอร์)
================================================================================


[1/1] ⚙️ กำลังประมวลผล: Cli_23/org/apache/commons/cli/HelpFormatter.java (30,750 bytes)
  ⚡ ย่อโค้ดล่วงหน้า (ตัด Comment/Javadoc ลดลง 16,176 chars)
  🔑 ใช้ API Key #1 (sk_tPX...Zcy7)...

  ⠋ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [0.0s]
  ⠙ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [0.3s]
  ⠹ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [0.6s]
  ⠸ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [0.9s]
  ⠼ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [1.2s]
  ⠴ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [1.5s]
  ⠦ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [1.8s]
  ⠧ 📡 ส่งคำขอแล้ว กำลังรอเซิร์ฟเวอร์ตอบกลับ (TTFT)... [2.1s]
                                                                                               
  ⏳ กำลังคิด (Reasoning)... [เวลา: 2.4s | คิด: 2 chars | 0 c/s]                               
  ⏳ กำลังคิด (Reasoning)... [เวลา: 2.8s | คิด: 72 chars | 213 c/s]                            
  ⏳ กำลังคิด (Reasoning)... [เวลา: 3.2s | คิด: 168 chars | 220 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 3.6s | คิด: 268 chars | 223 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 3.9s | คิด: 316 chars | 210 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 4.3s | คิด: 348 chars | 181 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 4.6s | คิด: 442 chars | 202 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 5.1s | คิด: 534 chars | 203 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 5.3s | คิด: 576 chars | 200 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 5.8s | คิด: 667 chars | 200 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 6.2s | คิด: 754 chars | 200 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 6.7s | คิด: 851 chars | 199 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 7.0s | คิด: 899 chars | 195 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 7.4s | คิด: 989 chars | 200 c/s]                           
  ⏳ กำลังคิด (Reasoning)... [เวลา: 7.7s | คิด: 1,036 chars | 196 c/s]                         
  ⏳ กำลังคิด (Reasoning)... [เวลา: 8.0s | คิด: 1,140 chars | 203 c/s]                         
  ⏳ กำลังคิด (Reasoning)... [เวลา: 8.5s | คิด: 1,230 chars | 201 c/s]                         
  ⏳ กำลังคิด (Reasoning)... [เวลา: 9.0s | คิด: 1,309 chars | 200 c/s]                         
  ⏳ กำลังคิด (Reasoning)... [เวลา: 9.4s | คิด: 1,396 chars | 200 c/s]                         
  ⏳ กำลังคิด (Reasoning)... [เวลา: 9.9s | คิด: 1,492 chars | 201 c/s]                         
  ⏳ กำลังคิด (Reasoning)... [เวลา: 10.3s | คิด: 1,587 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 10.8s | คิด: 1,668 chars | 200 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 11.3s | คิด: 1,746 chars | 198 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 11.7s | คิด: 1,850 chars | 200 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 12.2s | คิด: 1,945 chars | 200 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 12.6s | คิด: 2,048 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 12.9s | คิด: 2,110 chars | 202 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 13.3s | คิด: 2,206 chars | 203 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 13.6s | คิด: 2,251 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 14.0s | คิด: 2,334 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 14.5s | คิด: 2,420 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 14.7s | คิด: 2,485 chars | 202 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 15.2s | คิด: 2,590 chars | 203 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 15.7s | คิด: 2,666 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 16.1s | คิด: 2,754 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 16.6s | คิด: 2,847 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 16.8s | คิด: 2,894 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 17.3s | คิด: 2,985 chars | 201 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 17.8s | คิด: 3,062 chars | 199 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 18.1s | คิด: 3,120 chars | 199 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 18.6s | คิด: 3,208 chars | 199 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 19.1s | คิด: 3,297 chars | 198 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 19.5s | คิด: 3,382 chars | 198 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 20.0s | คิด: 3,462 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 20.5s | คิด: 3,541 chars | 196 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 20.9s | คิด: 3,634 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 21.2s | คิด: 3,699 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 21.4s | คิด: 3,741 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 21.9s | คิด: 3,835 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 22.4s | คิด: 3,925 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 22.8s | คิด: 4,006 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 23.3s | คิด: 4,121 chars | 198 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 23.7s | คิด: 4,214 chars | 198 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 24.3s | คิด: 4,294 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 24.7s | คิด: 4,373 chars | 196 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 25.1s | คิด: 4,472 chars | 197 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 25.4s | คิด: 4,507 chars | 196 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 25.8s | คิด: 4,585 chars | 196 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 26.2s | คิด: 4,656 chars | 196 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 26.7s | คิด: 4,718 chars | 194 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 27.0s | คิด: 4,798 chars | 195 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 27.5s | คิด: 4,873 chars | 195 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 27.9s | คิด: 4,978 chars | 195 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 28.3s | คิด: 4,997 chars | 193 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 28.5s | คิด: 5,096 chars | 195 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 29.0s | คิด: 5,187 chars | 195 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 29.3s | คิด: 5,241 chars | 195 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 29.7s | คิด: 5,294 chars | 194 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 30.2s | คิด: 5,366 chars | 194 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 30.7s | คิด: 5,446 chars | 192 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 31.1s | คิด: 5,534 chars | 193 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 31.4s | คิด: 5,589 chars | 193 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 31.8s | คิด: 5,636 chars | 192 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 32.2s | คิด: 5,684 chars | 191 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 32.7s | คิด: 5,756 chars | 190 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 33.0s | คิด: 5,801 chars | 190 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 33.4s | คิด: 5,837 chars | 189 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 33.7s | คิด: 5,870 chars | 188 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 34.2s | คิด: 5,925 chars | 187 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 34.5s | คิด: 6,007 chars | 187 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 34.9s | คิด: 6,075 chars | 187 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 35.3s | คิด: 6,107 chars | 186 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 35.7s | คิด: 6,145 chars | 185 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 36.0s | คิด: 6,206 chars | 185 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 36.4s | คิด: 6,272 chars | 185 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 36.8s | คิด: 6,307 chars | 184 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 37.2s | คิด: 6,352 chars | 183 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 37.5s | คิด: 6,378 chars | 182 c/s]                        
  ⏳ กำลังคิด (Reasoning)... [เวลา: 37.8s | คิด: 6,425 chars | 182 c/s]                        
