"round","project","bug_id","seed","budget","tests","coverage","line_cov","branch_cov","total_goals","covered_goals","lines","covered_lines","total_branches","covered_branches","buggy_result","buggy_fails","fixed_result","fixed_fails","verdict"
2,"Chart",1,20260918,120,5,9.46,9.06,9.85,848,79,66,52,242,24,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",10,20260918,60,1,100,100,100,5,5,2,3,0,0,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Chart",11,20260918,60,61,96.44,96.94,95.93,319,307,21,190,116,111,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",12,20260918,60,26,93.72,94.74,92.71,286,269,21,180,84,79,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",13,20260918,60,14,63.63,63.32,63.93,351,222,10,145,120,76,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",14,20260918,60,300,57.78,61.69,54.02,4330,2483,373,1632,1438,680,"PASS",0,"FAIL",6,"INCONCLUSIVE"
2,"Chart",15,20260918,60,99,70.98,77.17,64.78,1217,891,114,639,312,177,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Chart",16,20260918,60,49,85.52,86.17,86.13,325,280,32,162,128,109,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",17,20260918,60,49,92.95,94.44,91.45,440,410,44,272,128,115,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",18,20260918,60,49,98.4,99.31,97.48,416,410,45,264,124,120,"PASS",0,"FAIL",2,"INCONCLUSIVE"
2,"Chart",19,20260918,60,136,63.58,69,59.94,1803,1178,159,779,596,330,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Chart",2,20260918,60,118,70.27,73.03,67.5,1361,955,52,585,546,364,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",20,20260918,60,7,93.88,95.45,92.31,35,33,6,21,8,7,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",21,20260918,60,43,85.71,91.93,79.49,239,210,38,148,60,44,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",22,20260918,60,18,94.22,96.77,91.67,196,186,21,120,58,52,"PASS",0,"FAIL",2,"INCONCLUSIVE"
2,"Chart",23,20260918,60,16,36.92,37.32,36.51,205,76,24,53,46,12,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",24,20260918,60,8,100,100,100,40,40,7,25,10,10,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",25,20260918,60,10,23.32,25.29,21.35,263,62,11,44,82,14,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",26,20260918,60,53,88.67,90.59,86.75,506,452,56,308,130,110,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",3,20260918,60,70,94.34,95.53,93.15,599,565,54,363,192,177,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",4,20260918,60,173,44.51,48.45,40.58,2879,1305,229,873,968,338,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Chart",5,20260918,60,41,98.84,97.67,100,275,269,34,168,80,80,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Chart",6,20260918,60,6,47.16,41.38,52.94,46,21,8,12,12,4,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Chart",7,20260918,60,25,99.37,98.74,100,233,230,27,157,54,54,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",8,20260918,60,27,88.76,91.36,81.93,245,215,25,148,68,53,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Chart",9,20260918,60,54,89.25,91,87.5,441,394,44,263,128,109,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Cli",1,20260918,120,16,100,100,100,78,78,17,45,22,22,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",10,20260918,120,16,82.53,85.85,79.22,183,151,12,91,70,54,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",11,20260918,120,34,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",12,20260918,120,4,100,100,100,42,42,2,25,16,16,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",13,20260918,120,51,64.1,97.41,97.45,348,332,41,182,130,120,"FAIL",3,"FAIL",3,"INCONCLUSIVE"
2,"Cli",14,20260918,120,27,75.73,75.66,75.8,346,258,18,143,148,110,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",15,20260918,120,26,98.39,100,96.77,155,153,22,93,54,52,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",16,20260918,120,75,68.69,94.92,92.47,617,543,52,307,252,217,"FAIL",4,"FAIL",4,"INCONCLUSIVE"
2,"Cli",17,20260918,120,8,95.17,97.01,93.33,112,107,8,65,42,39,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",18,20260918,120,7,93.28,95.45,91.11,111,104,8,63,42,38,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",19,20260918,120,9,95.05,96.92,93.18,109,104,7,63,42,39,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",2,20260918,120,8,95.2,97.06,93.33,113,108,8,66,42,39,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",20,20260918,120,7,91.19,93.75,88.64,108,99,7,60,42,37,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",21,20260918,120,56,61.44,95.14,94.41,534,478,41,266,222,197,"FAIL",3,"FAIL",3,"INCONCLUSIVE"
2,"Cli",22,20260918,120,9,97.56,100,95.12,98,96,7,57,38,36,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",23,20260918,120,31,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",24,20260918,120,35,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",25,20260918,120,36,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",26,20260918,120,17,98.31,96.61,100,80,78,20,57,4,4,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",27,20260918,120,7,100,100,100,53,53,9,34,12,12,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",28,20260918,120,14,82.03,86.14,77.92,178,146,12,87,70,53,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",29,20260918,120,7,100,100,100,25,25,3,14,10,10,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",3,20260918,120,7,95.49,85.45,89.29,83,71,10,47,20,17,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",30,20260918,120,31,73.71,79.5,67.93,530,371,37,221,230,140,"FAIL",2,"FAIL",2,"INCONCLUSIVE"
2,"Cli",31,20260918,120,106,98.53,97.5,99.56,310,304,64,173,92,91,"FAIL",3,"FAIL",3,"INCONCLUSIVE"
2,"Cli",32,20260918,120,37,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",33,20260918,120,36,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",34,20260918,120,68,98.52,97.49,99.56,309,303,64,172,92,91,"FAIL",2,"FAIL",2,"INCONCLUSIVE"
2,"Cli",35,20260918,120,19,100,100,100,99,99,17,57,32,32,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Cli",36,20260918,120,28,100,100,100,161,161,26,94,50,50,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Cli",37,20260918,120,21,69.45,76.47,62.43,360,250,24,143,168,104,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Cli",38,20260918,120,16,56.79,63.87,49.71,364,208,24,122,168,82,"PASS",0,"PASS",0,"NOT_REVEALING"
2,"Cli",39,20260918,120,13,100,100,100,70,69,10,42,20,20,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Cli",4,20260918,120,13,70.71,74.75,66.67,171,121,9,74,68,44,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",40,20260918,120,12,77.32,82.22,72.41,74,57,11,37,20,12,"PASS",0,"FAIL",1,"INCONCLUSIVE"
2,"Cli",5,20260918,120,6,100,100,100,20,20,3,11,8,8,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",7,20260918,120,14,92.52,98.53,85.03,215,191,7,67,144,122,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",8,20260918,120,33,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
2,"Cli",9,20260918,120,16,84.55,88.57,80.52,182,154,12,93,70,55,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
