"project","bug_id","subject_status","target_class","source_file","algorithm","seed","search_budget_seconds","client_memory_mb","generation_seconds","generated_test_methods","test_execution","line_coverage_percent","branch_coverage_percent","target_status","error"
"Chart",1,"ok","org.jfree.chart.renderer.category.AbstractCategoryItemRenderer","Resoucre/Chart_1/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java","STANDARD_GA",20260918,60,2048,98,61,"PASS",48.78,47.45,"ok",""
"Chart",2,"ok","org.jfree.data.general.DatasetUtilities","Resoucre/Chart_2/org/jfree/data/general/DatasetUtilities.java","STANDARD_GA",20260918,60,2048,81,114,"PASS",72.03,66.61,"ok",""
"Chart",3,"ok","org.jfree.data.time.TimeSeries","Resoucre/Chart_3/org/jfree/data/time/TimeSeries.java","STANDARD_GA",20260918,60,2048,77,61,"PASS",91.32,84.02,"ok",""
"Chart",4,"ok","org.jfree.chart.plot.XYPlot","Resoucre/Chart_4/org/jfree/chart/plot/XYPlot.java","STANDARD_GA",20260918,60,2048,133,177,"PASS",56.49,47.82,"ok",""
"Chart",5,"ok","org.jfree.data.xy.XYSeries","Resoucre/Chart_5/org/jfree/data/xy/XYSeries.java","STANDARD_GA",20260918,60,2048,73,38,"PASS",97.67,100.00,"ok",""
"Chart",6,"ok","org.jfree.chart.util.ShapeList","Resoucre/Chart_6/org/jfree/chart/util/ShapeList.java","STANDARD_GA",20260918,60,2048,66,6,"PASS",41.38,52.94,"ok",""
"Chart",7,"ok","org.jfree.data.time.TimePeriodValues","Resoucre/Chart_7/org/jfree/data/time/TimePeriodValues.java","STANDARD_GA",20260918,60,2048,70,25,"PASS",98.74,100.00,"ok",""
"Chart",8,"ok","org.jfree.data.time.Week","Resoucre/Chart_8/org/jfree/data/time/Week.java","STANDARD_GA",20260918,60,2048,71,31,"PASS",91.36,85.54,"ok",""
"Chart",9,"ok","org.jfree.data.time.TimeSeries","Resoucre/Chart_9/org/jfree/data/time/TimeSeries.java","STANDARD_GA",20260918,60,2048,74,47,"PASS",93.77,92.11,"ok",""
"Chart",10,"ok","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator","Resoucre/Chart_10/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java","STANDARD_GA",20260918,60,2048,4,1,"PASS",100.00,100.00,"ok",""
"Chart",11,"ok","org.jfree.chart.util.ShapeUtilities","Resoucre/Chart_11/org/jfree/chart/util/ShapeUtilities.java","STANDARD_GA",20260918,60,2048,74,60,"PASS",96.94,95.93,"ok",""
"Chart",12,"ok","org.jfree.chart.plot.MultiplePiePlot","Resoucre/Chart_12/org/jfree/chart/plot/MultiplePiePlot.java","STANDARD_GA",20260918,60,2048,80,28,"PASS",96.32,94.79,"ok",""
"Chart",13,"ok","org.jfree.chart.block.BorderArrangement","Resoucre/Chart_13/org/jfree/chart/block/BorderArrangement.java","STANDARD_GA",20260918,60,2048,72,15,"PASS",62.88,63.11,"ok",""
"Chart",14,"ok","org.jfree.chart.plot.CategoryPlot","Resoucre/Chart_14/org/jfree/chart/plot/CategoryPlot.java","STANDARD_GA",20260918,60,2048,124,137,"PASS",74.02,65.22,"ok",""
"Chart",14,"ok","org.jfree.chart.plot.XYPlot","Resoucre/Chart_14/org/jfree/chart/plot/XYPlot.java","STANDARD_GA",20260918,60,2048,120,156,"PASS",50.62,43.39,"ok",""
"Chart",15,"ok","org.jfree.chart.plot.PiePlot","Resoucre/Chart_15/org/jfree/chart/plot/PiePlot.java","STANDARD_GA",20260918,60,2048,106,107,"PASS",83.57,69.67,"ok",""
"Chart",16,"ok","org.jfree.data.category.DefaultIntervalCategoryDataset","Resoucre/Chart_16/org/jfree/data/category/DefaultIntervalCategoryDataset.java","STANDARD_GA",20260918,60,2048,80,49,"PASS",87.23,85.40,"ok",""
"Chart",17,"ok","org.jfree.data.time.TimeSeries","Resoucre/Chart_17/org/jfree/data/time/TimeSeries.java","STANDARD_GA",20260918,60,2048,78,52,"PASS",92.36,89.47,"ok",""
"Chart",18,"ok","org.jfree.data.DefaultKeyedValues","Resoucre/Chart_18/org/jfree/data/DefaultKeyedValues.java","STANDARD_GA",20260918,60,2048,68,23,"PASS",100.00,98.41,"ok",""
"Chart",18,"ok","org.jfree.data.DefaultKeyedValues2D","Resoucre/Chart_18/org/jfree/data/DefaultKeyedValues2D.java","STANDARD_GA",20260918,60,2048,68,26,"PASS",98.61,96.55,"ok",""
"Chart",19,"ok","org.jfree.chart.plot.CategoryPlot","Resoucre/Chart_19/org/jfree/chart/plot/CategoryPlot.java","STANDARD_GA",20260918,60,2048,118,140,"PASS",71.30,61.72,"ok",""
"Chart",20,"ok","org.jfree.chart.plot.ValueMarker","Resoucre/Chart_20/org/jfree/chart/plot/ValueMarker.java","STANDARD_GA",20260918,60,2048,68,5,"PASS",95.45,92.31,"ok",""
"Chart",21,"ok","org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset","Resoucre/Chart_21/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java","STANDARD_GA",20260918,60,2048,73,45,"PASS",96.27,79.49,"ok",""
"Chart",22,"ok","org.jfree.data.KeyedObjects2D","Resoucre/Chart_22/org/jfree/data/KeyedObjects2D.java","STANDARD_GA",20260918,60,2048,67,17,"PASS",96.77,91.67,"ok",""
"Chart",23,"ok","org.jfree.chart.renderer.category.MinMaxCategoryRenderer","Resoucre/Chart_23/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java","STANDARD_GA",20260918,60,2048,71,17,"PASS",41.55,38.10,"ok",""
"Chart",24,"ok","org.jfree.chart.renderer.GrayPaintScale","Resoucre/Chart_24/org/jfree/chart/renderer/GrayPaintScale.java","STANDARD_GA",20260918,60,2048,7,8,"PASS",100.00,100.00,"ok",""
"Chart",25,"ok","org.jfree.chart.renderer.category.StatisticalBarRenderer","Resoucre/Chart_25/org/jfree/chart/renderer/category/StatisticalBarRenderer.java","STANDARD_GA",20260918,60,2048,75,12,"PASS",25.29,21.35,"ok",""
"Chart",26,"ok","org.jfree.chart.axis.Axis","Resoucre/Chart_26/org/jfree/chart/axis/Axis.java","STANDARD_GA",20260918,60,2048,87,56,"PASS",82.65,80.12,"ok",""
"Cli",1,"ok","org.apache.commons.cli.CommandLine","Resoucre/Cli_1/org/apache/commons/cli/CommandLine.java","STANDARD_GA",20260918,60,2048,8,16,"PASS",100.00,100.00,"ok",""
"Cli",2,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_2/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,66,8,"PASS",97.06,93.33,"ok",""
"Cli",3,"failed","org.apache.commons.cli.TypeHandler","Resoucre/Cli_3/org/apache/commons/cli/TypeHandler.java","STANDARD_GA",20260918,60,2048,65,6,"FAIL",76.36,82.14,"test_failed","19:52:32.973 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Error while loading class: java.lang.ClassNotFoundException: Class '91(GR:DpD4/rI.class' should be in target project, but could not be found!
Unable to find: 91(GR:DpD4.rI
E.19:52:32.975 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Seeing class for first time: F1$NFi,WI1
19:52:32.975 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Instrumenting class 'F1$NFi,WI1'.
19:52:32.975 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Error while loading class: java.lang.ClassNotFoundException: Class 'F1$NFi,WI1.class' should be in target project, but could not be found!
Unable to find: F1$NFi,WI1
.
Time: 0.68
There was 1 failure:
1) test3(org.apache.commons.cli.TypeHandler_ESTest)
java.lang.AssertionError: expected null, but was:<91(GR:DpD4.rI>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotNull(Assert.java:756)
	at org.junit.Assert.assertNull(Assert.java:738)
	at org.junit.Assert.assertNull(Assert.java:748)
	at org.apache.commons.cli.TypeHandler_ESTest.test3(TypeHandler_ESTest.java:48)

FAILURES!!!
Tests run: 6,  Failures: 1"
"Cli",4,"ok","org.apache.commons.cli.Parser","Resoucre/Cli_4/org/apache/commons/cli/Parser.java","STANDARD_GA",20260918,60,2048,68,12,"PASS",63.64,56.94,"ok",""
"Cli",5,"ok","org.apache.commons.cli.Util","Resoucre/Cli_5/org/apache/commons/cli/Util.java","STANDARD_GA",20260918,60,2048,5,6,"PASS",100.00,100.00,"ok",""
