"project","bug_id","subject_status","subject_version","test_code_dir","test_class","execution_seconds","tests_run","failures","test_execution","test_status","error"
"Chart",1,"ok","fixed","GenericAlgorithm/TestCode/Chart_1","org.jfree.chart.renderer.category.AbstractCategoryItemRenderer_ESTest",5,61,0,"PASS","ok",""
"Chart",2,"ok","fixed","GenericAlgorithm/TestCode/Chart_2","org.jfree.data.general.DatasetUtilities_ESTest",1,114,0,"PASS","ok",""
"Chart",3,"ok","fixed","GenericAlgorithm/TestCode/Chart_3","org.jfree.data.time.TimeSeries_ESTest",3,61,0,"PASS","ok",""
"Chart",4,"failed","fixed","GenericAlgorithm/TestCode/Chart_4","org.jfree.chart.plot.XYPlot_ESTest",3,177,1,"FAIL","test_failed","18:56:21.690 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Instrumenting class 'org.jfree.chart.urls.StandardXYZURLGenerator'.
18:56:21.691 [main] INFO org.evosuite.runtime.instrumentation.MethodCallReplacementClassAdapter - Adding mock interface to class org/jfree/chart/urls/StandardXYZURLGenerator
18:56:21.691 [main] INFO org.evosuite.runtime.instrumentation.CreateClassResetClassAdapter - Creating brand-new static initializer in class org/jfree/chart/urls/StandardXYZURLGenerator
18:56:21.691 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Seeing class for first time: org.jfree.chart.urls.XYZURLGenerator
18:56:21.691 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Instrumenting class 'org.jfree.chart.urls.XYZURLGenerator'.
18:56:21.691 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Keeping class: org.jfree.chart.urls.XYZURLGenerator
18:56:21.691 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Keeping class: org.jfree.chart.urls.StandardXYZURLGenerator
.......................................................................18:56:22.021 [main] INFO org.evosuite.runtime.thread.ThreadStopper - Found new thread
18:56:22.021 [main] INFO org.evosuite.runtime.thread.ThreadStopper - Found new thread
..............................E...........................................................................
Time: 2.46
There was 1 failure:
1) test076(org.jfree.chart.plot.XYPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.XYPlot_ESTest.test076(XYPlot_ESTest.java:1007)

FAILURES!!!
Tests run: 177,  Failures: 1"
"Chart",5,"ok","fixed","GenericAlgorithm/TestCode/Chart_5","org.jfree.data.xy.XYSeries_ESTest",2,38,0,"PASS","ok",""
"Chart",6,"ok","fixed","GenericAlgorithm/TestCode/Chart_6","org.jfree.chart.util.ShapeList_ESTest",1,6,0,"PASS","ok",""
"Chart",7,"ok","fixed","GenericAlgorithm/TestCode/Chart_7","org.jfree.data.time.TimePeriodValues_ESTest",1,25,0,"PASS","ok",""
"Chart",8,"ok","fixed","GenericAlgorithm/TestCode/Chart_8","org.jfree.data.time.Week_ESTest",1,31,0,"PASS","ok",""
"Chart",9,"ok","fixed","GenericAlgorithm/TestCode/Chart_9","org.jfree.data.time.TimeSeries_ESTest",1,47,0,"PASS","ok",""
"Chart",10,"ok","fixed","GenericAlgorithm/TestCode/Chart_10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator_ESTest",1,1,0,"PASS","ok",""
"Chart",11,"ok","fixed","GenericAlgorithm/TestCode/Chart_11","org.jfree.chart.util.ShapeUtilities_ESTest",1,60,0,"PASS","ok",""
"Chart",12,"ok","fixed","GenericAlgorithm/TestCode/Chart_12","org.jfree.chart.plot.MultiplePiePlot_ESTest",1,28,0,"PASS","ok",""
"Chart",13,"ok","fixed","GenericAlgorithm/TestCode/Chart_13","org.jfree.chart.block.BorderArrangement_ESTest",1,15,0,"PASS","ok",""
"Chart",14,"failed","fixed","GenericAlgorithm/TestCode/Chart_14","org.jfree.chart.plot.CategoryPlot_ESTest",5,137,4,"FAIL","test_failed","1) test135(org.jfree.chart.plot.CategoryPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.CategoryPlot_ESTest.test135(CategoryPlot_ESTest.java:1531)
2) test024(org.jfree.chart.plot.CategoryPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.CategoryPlot_ESTest.test024(CategoryPlot_ESTest.java:363)
3) test031(org.jfree.chart.plot.CategoryPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.CategoryPlot_ESTest.test031(CategoryPlot_ESTest.java:440)
4) test123(org.jfree.chart.plot.CategoryPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.CategoryPlot_ESTest.test123(CategoryPlot_ESTest.java:1408)

FAILURES!!!
Tests run: 137,  Failures: 4"
"Chart",14,"failed","fixed","GenericAlgorithm/TestCode/Chart_14","org.jfree.chart.plot.XYPlot_ESTest",4,156,4,"FAIL","test_failed","1) test134(org.jfree.chart.plot.XYPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.XYPlot_ESTest.test134(XYPlot_ESTest.java:1633)
2) test042(org.jfree.chart.plot.XYPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.XYPlot_ESTest.test042(XYPlot_ESTest.java:615)
3) test036(org.jfree.chart.plot.XYPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.XYPlot_ESTest.test036(XYPlot_ESTest.java:545)
4) test103(org.jfree.chart.plot.XYPlot_ESTest)
java.lang.AssertionError: Expecting exception: NullPointerException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.chart.plot.XYPlot_ESTest.test103(XYPlot_ESTest.java:1288)

FAILURES!!!
Tests run: 156,  Failures: 4"
"Chart",15,"ok","fixed","GenericAlgorithm/TestCode/Chart_15","org.jfree.chart.plot.PiePlot_ESTest",2,107,0,"PASS","ok",""
"Chart",16,"ok","fixed","GenericAlgorithm/TestCode/Chart_16","org.jfree.data.category.DefaultIntervalCategoryDataset_ESTest",2,49,0,"PASS","ok",""
