"project","bug_id","algorithm","seed","search_budget_seconds","target_class","generation_seconds","generated_test_methods","test_execution","line_coverage_percent","branch_coverage_percent","status","error"
"Chart",1,"STANDARD_GA",20260918,60,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer",88,52,"PASS",41.99,41.97,"ok",""
"Chart",2,"STANDARD_GA",20260918,60,"org.jfree.data.general.DatasetUtilities",90,113,"PASS",70.04,64.11,"ok",""
"Chart",3,"STANDARD_GA",20260918,60,"org.jfree.data.time.TimeSeries",80,56,"PASS",90.26,80.82,"ok",""
"Chart",4,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.XYPlot",146,190,"PASS",51.17,43.73,"ok",""
"Chart",5,"STANDARD_GA",20260918,60,"org.jfree.data.xy.XYSeries",76,39,"PASS",97.67,100.00,"ok",""
"Chart",6,"STANDARD_GA",20260918,60,"org.jfree.chart.util.ShapeList",65,6,"PASS",41.38,52.94,"ok",""
"Chart",7,"STANDARD_GA",20260918,60,"org.jfree.data.time.TimePeriodValues",71,25,"PASS",98.74,100.00,"ok",""
"Chart",8,"STANDARD_GA",20260918,60,"org.jfree.data.time.Week",72,27,"PASS",91.36,81.93,"ok",""
"Chart",9,"STANDARD_GA",20260918,60,"org.jfree.data.time.TimeSeries",79,53,"PASS",90.31,85.53,"ok",""
"Chart",10,"STANDARD_GA",20260918,60,"org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",4,1,"PASS",100.00,100.00,"ok",""
"Chart",11,"STANDARD_GA",20260918,60,"org.jfree.chart.util.ShapeUtilities",75,57,"PASS",96.43,94.31,"ok",""
"Chart",12,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.MultiplePiePlot",79,29,"PASS",94.74,92.71,"ok",""
"Chart",13,"STANDARD_GA",20260918,60,"org.jfree.chart.block.BorderArrangement",69,14,"PASS",63.32,63.93,"ok",""
"Chart",14,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.CategoryPlot",117,146,"PASS",65.16,55.12,"ok",""
"Chart",14,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.XYPlot",126,147,"PASS",51.07,41.96,"ok",""
"Chart",15,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.PiePlot",100,117,"PASS",50.85,50.64,"ok",""
"Chart",16,"STANDARD_GA",20260918,60,"org.jfree.data.category.DefaultIntervalCategoryDataset",79,51,"PASS",92.02,89.05,"ok",""
"Chart",17,"STANDARD_GA",20260918,60,"org.jfree.data.time.TimeSeries",79,49,"PASS",91.32,85.53,"ok",""
"Chart",18,"STANDARD_GA",20260918,60,"org.jfree.data.DefaultKeyedValues",69,24,"PASS",100.00,98.41,"ok",""
"Chart",18,"STANDARD_GA",20260918,60,"org.jfree.data.DefaultKeyedValues2D",69,26,"PASS",98.61,96.55,"ok",""
"Chart",19,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.CategoryPlot",130,132,"PASS",64.66,56.97,"ok",""
"Chart",20,"STANDARD_GA",20260918,60,"org.jfree.chart.plot.ValueMarker",43,8,"PASS",100.00,100.00,"ok",""
"Chart",21,"STANDARD_GA",20260918,60,"org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset",73,45,"PASS",100.00,88.46,"ok",""
"Chart",22,"STANDARD_GA",20260918,60,"org.jfree.data.KeyedObjects2D",69,19,"PASS",97.58,93.06,"ok",""
"Chart",23,"STANDARD_GA",20260918,60,"org.jfree.chart.renderer.category.MinMaxCategoryRenderer",71,15,"PASS",41.55,38.10,"ok",""
"Chart",24,"STANDARD_GA",20260918,60,"org.jfree.chart.renderer.GrayPaintScale",5,8,"PASS",100.00,100.00,"ok",""
"Chart",25,"STANDARD_GA",20260918,60,"org.jfree.chart.renderer.category.StatisticalBarRenderer",73,12,"PASS",28.74,22.47,"ok",""
"Chart",26,"STANDARD_GA",20260918,60,"org.jfree.chart.axis.Axis",86,50,"PASS",77.94,77.71,"ok",""
