"project","bug_id","algorithm","seed","buggy_result","fixed_result","bug_detected","status","defect"
"Chart",1,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",2,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",3,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",4,"STANDARD_GA",20260918,"FAIL","FAIL",false,"inconclusive",""
"Chart",5,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",6,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",7,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",8,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",9,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",10,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",11,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",12,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",13,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",14,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",15,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",16,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",17,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",18,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",19,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",20,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",21,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",22,"STANDARD_GA",20260918,"PASS","FAIL",false,"inconclusive",""
"Chart",23,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",24,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",25,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
"Chart",26,"STANDARD_GA",20260918,"PASS","PASS",false,"pass",""
